,internal_id,avg_hardness,avg_yield,Al,B,Bi,C,Ca,Ce,Co,Cr,Cu,Fe,Mg,Mn,Mo,N,Nb,Ni,P,Pb,S,Se,Si,Ti,V,W,Zn,Zr,youngs_modulus,lattice_constant,melting_point,specific_heat,atomic_mass,CTE,electrical_resistivity,atomic_radius,density_of_solid,poissons_ratio,electronegativity,max_min_radius
0,MINFM3654700,95.0,168.0,95.8,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.15,0.7,0.8,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.15,0.0,0.0,0.25,0.0,70.13259999999998,3.9783670000000004,930.850725,0.8795557,26.979858486299996,2.2436059999999997e-05,4.0299046e-06,1.23386,2716.9934999999996,0.3413489999999999,1.5855439999999998,0.3999999999999999
1,MINFM3654300,30.0,55.0,95.8,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.15,0.7,0.8,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.15,0.0,0.0,0.25,0.0,70.13259999999998,3.9783670000000004,930.850725,0.8795557,26.979858486299996,2.2436059999999997e-05,4.0299046e-06,1.23386,2716.9934999999996,0.3413489999999999,1.5855439999999998,0.3999999999999999
2,MINFM3654600,95.0,168.0,95.8,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.15,0.7,0.8,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.15,0.0,0.0,0.25,0.0,70.13259999999998,3.9783670000000004,930.850725,0.8795557,26.979858486299996,2.2436059999999997e-05,4.0299046e-06,1.23386,2716.9934999999996,0.3413489999999999,1.5855439999999998,0.3999999999999999
3,MINFM3654500,65.0,127.5,95.8,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.15,0.7,0.8,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.15,0.0,0.0,0.25,0.0,70.13259999999998,3.9783670000000004,930.850725,0.8795557,26.979858486299996,2.2436059999999997e-05,4.0299046e-06,1.23386,2716.9934999999996,0.3413489999999999,1.5855439999999998,0.3999999999999999
4,MINFM3654400,65.0,122.5,95.8,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.15,0.7,0.8,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.15,0.0,0.0,0.25,0.0,70.13259999999998,3.9783670000000004,930.850725,0.8795557,26.979858486299996,2.2436059999999997e-05,4.0299046e-06,1.23386,2716.9934999999996,0.3413489999999999,1.5855439999999998,0.3999999999999999
5,COME029,80.0,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.28,3.208,1765.3600000000001,0.443,57.326167999999996,1.2632e-05,8.543999999999999e-08,1.374,8411.68,0.3004,1.8716,0.04999999999999982
6,COME051,333.5,827.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,18.0,0.0,0.0,3.0,0.0,5.0,53.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,213.50399999999996,3.2357,1890.7345,0.43738699999999997,59.12809069299999,1.0858900000000002e-05,9.327499999999999e-08,1.36835,8286.123,0.29033,1.8238100000000002,0.19999999999999996
7,MITF730,95.0,250.0,91.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,5.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.0,0.3,0.0,72.49499999999999,3.94734,943.8719900000001,0.8485930000000002,29.343289541799997,2.2183499999999995e-05,4.029411000000001e-06,1.2338000000000005,3039.1980000000003,0.34086999999999995,1.59769,0.7
8,MITF800,45.0,95.0,90.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3.9,0.7,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.25,0.2,71.667,3.9051650000000007,932.535725,0.8414315000000001,27.956628674399997,2.1818000000000004e-05,5.0325038e-06,1.213425,2920.5545,0.333585,1.5687650000000002,0.3999999999999999
9,MITF380,26.0,80.0,99.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.35,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.03,0.05,0.0,0.05,0.0,70.8667,4.066580000000001,943.7177650000001,0.9009445000000001,27.2673649591,2.3094499999999997e-05,2.5279458e-06,1.255965,2737.7835000000005,0.3502779999999999,1.618625,0.3999999999999999
10,MITF1070,120.0,292.5,90.7,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3.8,0.5,1.2,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.25,0.2,71.577,3.9311749999999996,938.0666249999999,0.8526335000000002,28.0504492452,2.19075e-05,5.0313676e-06,1.2266249999999996,2913.8965,0.33661499999999994,1.579585,0.3999999999999999
11,MITF2220,28.0,37.5,97.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.7,0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.25,0.0,70.948,4.01546,937.419025,0.8865170000000001,27.221275631999998,2.26952e-05,3.0303014e-06,1.243375,2747.568,0.34449499999999994,1.5994449999999998,0.3999999999999999
12,MITF2530,53.0,152.5,96.3,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.7,1.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.25,0.0,70.577,4.00291,936.5825249999999,0.8865930000000001,27.151382316799996,2.2563600000000002e-05,4.028936400000001e-06,1.243325,2733.956,0.34378499999999995,1.596385,0.3999999999999999
13,MITF2700,73.0,220.0,95.8,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.1,0.4,2.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.1,0.0,69.86599999999999,3.9950550000000007,932.77783,0.8902615000000001,26.938504923799993,2.2439649999999994e-05,2.5289417e-06,1.24505,2696.397,0.3437449999999999,1.5908599999999997,0.3999999999999999
14,MITF2700,73.0,220.0,95.8,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.1,0.4,2.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.1,0.0,69.86599999999999,3.9950550000000007,932.77783,0.8902615000000001,26.938504923799993,2.2439649999999994e-05,2.5289417e-06,1.24505,2696.397,0.3437449999999999,1.5908599999999997,0.3999999999999999
15,MITF2820,65.0,150.0,93.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.1,0.4,4.5,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.1,0.0,68.58649999999999,3.9508750000000004,925.7988300000001,0.8882615000000001,26.676614470499995,2.196699999999999e-05,3.0283507e-06,1.243,2651.061,0.34040499999999996,1.574425,0.3999999999999999
16,MITF3190,67.0,192.5,94.4,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.1,0.4,3.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2,0.0,0.0,0.2,0.0,69.63099999999999,3.9758050000000007,932.5655600000001,0.8883205000000001,26.9406513834,2.223745e-05,2.5298197000000002e-06,1.2452,2690.3930000000005,0.34234499999999995,1.5848400000000002,0.3999999999999999
17,MITF3210,78.0,235.0,94.4,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.1,0.4,3.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2,0.0,0.0,0.2,0.0,69.63099999999999,3.9758050000000007,932.5655600000001,0.8883205000000001,26.9406513834,2.223745e-05,2.5298197000000002e-06,1.2452,2690.3930000000005,0.34234499999999995,1.5848400000000002,0.3999999999999999
18,MITF3220,80.0,255.0,94.4,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.1,0.4,3.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2,0.0,0.0,0.2,0.0,69.63099999999999,3.9758050000000007,932.5655600000001,0.8883205000000001,26.9406513834,2.223745e-05,2.5298197000000002e-06,1.2452,2690.3930000000005,0.34234499999999995,1.5848400000000002,0.3999999999999999
19,MITF3230,58.0,95.0,94.4,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.1,0.4,3.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2,0.0,0.0,0.2,0.0,69.63099999999999,3.9758050000000007,932.5655600000001,0.8883205000000001,26.9406513834,2.223745e-05,2.5298197000000002e-06,1.2452,2690.3930000000005,0.34234499999999995,1.5848400000000002,0.3999999999999999
20,MITF3600,60.0,125.0,97.5,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.35,0.45,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.1,0.0,70.116,4.005089999999999,931.6348300000001,0.8873300000000001,26.951757279999995,2.2687799999999996e-05,2.0289172000000003e-06,1.2394999999999998,2707.717,0.3446899999999999,1.5941499999999997,0.3999999999999999
21,MITF3860,150.0,437.5,86.9,0.0,0.0,0.0,0.0,0.0,0.0,0.18,1.2,0.5,2.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.2,0.0,0.0,5.1,0.25,71.4142,3.8396640000000004,910.2049300000001,0.8364154,28.801481158399998,2.214482e-05,4.033502000000001e-06,1.2237200000000001,2946.944,0.329538,1.561018,0.3999999999999999
22,MITF850,105.0,247.5,90.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3.9,0.7,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.25,0.2,71.667,3.9051650000000007,932.535725,0.8414315000000001,27.956628674399997,2.1818000000000004e-05,5.0325038e-06,1.213425,2920.5545,0.333585,1.5687650000000002,0.3999999999999999
23,MITF480,28.0,90.0,99.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,1.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.0,72.152,4.101409999999999,961.2045300000002,0.9032790000000003,27.6756792365,2.30623e-05,1.0028518600000001e-05,1.2652249999999998,2790.375,0.34981999999999996,1.6345749999999997,0.2999999999999998
24,MITF3620,73.0,192.5,97.5,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.35,0.45,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.1,0.0,70.116,4.005089999999999,931.6348300000001,0.8873300000000001,26.951757279999995,2.2687799999999996e-05,2.0289172000000003e-06,1.2394999999999998,2707.717,0.3446899999999999,1.5941499999999997,0.3999999999999999
