internal_id,avg_hardness,avg_yield,composition_element,avg_composition
MINFM3654700,95,168,Al,97.205
MINFM3654700,95,168,Cr,0.195
MINFM3654700,95,168,Cu,0.275
MINFM3654700,95,168,Fe,0.7
MINFM3654700,95,168,Mg,1
MINFM3654700,95,168,Mn,0.15
MINFM3654700,95,168,Other,0.15
MINFM3654700,95,168,Si,0.6
MINFM3654700,95,168,Ti,0.15
MINFM3654700,95,168,Zn,0.25
MINFM3654300,30,55,Al,97.205
MINFM3654300,30,55,Cr,0.195
MINFM3654300,30,55,Cu,0.275
MINFM3654300,30,55,Fe,0.7
MINFM3654300,30,55,Mg,1
MINFM3654300,30,55,Mn,0.15
MINFM3654300,30,55,Other,0.15
MINFM3654300,30,55,Si,0.6
MINFM3654300,30,55,Ti,0.15
MINFM3654300,30,55,Zn,0.25
MINFM3654600,95,168,Al,97.205
MINFM3654600,95,168,Cr,0.195
MINFM3654600,95,168,Cu,0.275
MINFM3654600,95,168,Fe,0.7
MINFM3654600,95,168,Mg,1
MINFM3654600,95,168,Mn,0.15
MINFM3654600,95,168,Other,0.15
MINFM3654600,95,168,Si,0.6
MINFM3654600,95,168,Ti,0.15
MINFM3654600,95,168,Zn,0.25
MINFM3654500,65,127.5,Al,97.205
MINFM3654500,65,127.5,Cr,0.195
MINFM3654500,65,127.5,Cu,0.275
MINFM3654500,65,127.5,Fe,0.7
MINFM3654500,65,127.5,Mg,1
MINFM3654500,65,127.5,Mn,0.15
MINFM3654500,65,127.5,Other,0.15
MINFM3654500,65,127.5,Si,0.6
MINFM3654500,65,127.5,Ti,0.15
MINFM3654500,65,127.5,Zn,0.25
MINFM3654400,65,122.5,Al,97.205
MINFM3654400,65,122.5,Cr,0.195
MINFM3654400,65,122.5,Cu,0.275
MINFM3654400,65,122.5,Fe,0.7
MINFM3654400,65,122.5,Mg,1
MINFM3654400,65,122.5,Mn,0.15
MINFM3654400,65,122.5,Other,0.15
MINFM3654400,65,122.5,Si,0.6
MINFM3654400,65,122.5,Ti,0.15
MINFM3654400,65,122.5,Zn,0.25
COME029,80,280,Fe,48
COME029,80,280,Ni,52
COME051,333.5,827,Al,0.5
COME051,333.5,827,Cr,19
COME051,333.5,827,Fe,18
COME051,333.5,827,Mo,3
COME051,333.5,827,Ni,53
COME051,333.5,827,Nb,5
COME051,333.5,827,Ti,0.9
MITF730,95,250,Al,92.95
MITF730,95,250,Bi,0.4
MITF730,95,250,Cu,5.5
MITF730,95,250,Fe,0.7
MITF730,95,250,Pb,0.4
MITF730,95,250,Other,0.15
MITF730,95,250,Si,0.4
MITF730,95,250,Zn,0.3
MITF800,45,95,Al,92.7
MITF800,45,95,Cr,0.1
MITF800,45,95,Cu,4.45
MITF800,45,95,Fe,0.7
MITF800,45,95,Mg,0.5
MITF800,45,95,Mn,0.8
MITF800,45,95,Other,0.15
MITF800,45,95,Si,0.85
MITF800,45,95,Ti,0.15
MITF800,45,95,Zn,0.25
MITF800,45,95,Zr,0.2
MITF380,26,80,Al,99.8
MITF380,26,80,Cu,0.05
MITF380,26,80,Fe,0.35
MITF380,26,80,Mg,0.03
MITF380,26,80,Mn,0.03
MITF380,26,80,Si,0.25
MITF380,26,80,Ti,0.03
MITF380,26,80,V,0.05
MITF380,26,80,Zn,0.05
MITF1070,120,292.5,Al,92.7
MITF1070,120,292.5,Cr,0.1
MITF1070,120,292.5,Cu,4.35
MITF1070,120,292.5,Fe,0.5
MITF1070,120,292.5,Mg,1.5
MITF1070,120,292.5,Mn,0.6
MITF1070,120,292.5,Other,0.15
MITF1070,120,292.5,Si,0.5
MITF1070,120,292.5,Ti,0.15
MITF1070,120,292.5,Zn,0.25
MITF1070,120,292.5,Zr,0.2
MITF2220,28,37.5,Al,98.25
MITF2220,28,37.5,Cr,0.1
MITF2220,28,37.5,Cu,0.2
MITF2220,28,37.5,Fe,0.7
MITF2220,28,37.5,Mg,0.8
MITF2220,28,37.5,Mn,0.2
MITF2220,28,37.5,Other,0.15
MITF2220,28,37.5,Si,0.3
MITF2220,28,37.5,Zn,0.25
MITF2530,53,152.5,Al,97.6
MITF2530,53,152.5,Cr,0.1
MITF2530,53,152.5,Cu,0.2
MITF2530,53,152.5,Fe,0.7
MITF2530,53,152.5,Mg,1.45
MITF2530,53,152.5,Mn,0.1
MITF2530,53,152.5,Other,0.15
MITF2530,53,152.5,Si,0.4
MITF2530,53,152.5,Zn,0.25
MITF2700,73,220,Al,96.75
MITF2700,73,220,Cr,0.25
MITF2700,73,220,Cu,0.1
MITF2700,73,220,Fe,0.4
MITF2700,73,220,Mg,2.5
MITF2700,73,220,Mn,0.1
MITF2700,73,220,Other,0.15
MITF2700,73,220,Si,0.25
MITF2700,73,220,Zn,0.1
MITF2700,73,220,Al,96.75
MITF2700,73,220,Cr,0.25
MITF2700,73,220,Cu,0.1
MITF2700,73,220,Fe,0.4
MITF2700,73,220,Mg,2.5
MITF2700,73,220,Mn,0.1
MITF2700,73,220,Other,0.15
MITF2700,73,220,Si,0.25
MITF2700,73,220,Zn,0.1
MITF2820,65,150,Al,94.2
MITF2820,65,150,Cr,0.125
MITF2820,65,150,Cu,0.1
MITF2820,65,150,Fe,0.4
MITF2820,65,150,Mg,5.05
MITF2820,65,150,Mn,0.125
MITF2820,65,150,Other,0.15
MITF2820,65,150,Si,0.3
MITF2820,65,150,Zn,0.1
MITF3190,67,192.5,Al,95.6
MITF3190,67,192.5,Cr,0.25
MITF3190,67,192.5,Cu,0.1
MITF3190,67,192.5,Fe,0.4
MITF3190,67,192.5,Mg,3.5
MITF3190,67,192.5,Mn,0.1
MITF3190,67,192.5,Other,0.15
MITF3190,67,192.5,Si,0.25
MITF3190,67,192.5,Ti,0.2
MITF3190,67,192.5,Zn,0.2
MITF3210,78,235,Al,95.6
MITF3210,78,235,Cr,0.25
MITF3210,78,235,Cu,0.1
MITF3210,78,235,Fe,0.4
MITF3210,78,235,Mg,3.5
MITF3210,78,235,Mn,0.1
MITF3210,78,235,Other,0.15
MITF3210,78,235,Si,0.25
MITF3210,78,235,Ti,0.2
MITF3210,78,235,Zn,0.2
MITF3220,80,255,Al,95.6
MITF3220,80,255,Cr,0.25
MITF3220,80,255,Cu,0.1
MITF3220,80,255,Fe,0.4
MITF3220,80,255,Mg,3.5
MITF3220,80,255,Mn,0.1
MITF3220,80,255,Other,0.15
MITF3220,80,255,Si,0.25
MITF3220,80,255,Ti,0.2
MITF3220,80,255,Zn,0.2
MITF3230,58,95,Al,95.6
MITF3230,58,95,Cr,0.25
MITF3230,58,95,Cu,0.1
MITF3230,58,95,Fe,0.4
MITF3230,58,95,Mg,3.5
MITF3230,58,95,Mn,0.1
MITF3230,58,95,Other,0.15
MITF3230,58,95,Si,0.25
MITF3230,58,95,Ti,0.2
MITF3230,58,95,Zn,0.2
MITF3600,60,125,Al,98.45
MITF3600,60,125,Cr,0.1
MITF3600,60,125,Cu,0.1
MITF3600,60,125,Fe,0.35
MITF3600,60,125,Mg,0.675
MITF3600,60,125,Mn,0.1
MITF3600,60,125,Other,0.15
MITF3600,60,125,Si,0.4
MITF3600,60,125,Ti,0.1
MITF3600,60,125,Zn,0.1
MITF3860,150,437.5,Al,89.15
MITF3860,150,437.5,Cr,0.23
MITF3860,150,437.5,Cu,1.6
MITF3860,150,437.5,Fe,0.5
MITF3860,150,437.5,Mg,2.5
MITF3860,150,437.5,Mn,0.3
MITF3860,150,437.5,Other,0.15
MITF3860,150,437.5,Si,0.4
MITF3860,150,437.5,Ti,0.2
MITF3860,150,437.5,Zn,5.6
MITF3860,150,437.5,Zr,0.25
MITF850,105,247.5,Al,92.7
MITF850,105,247.5,Cr,0.1
MITF850,105,247.5,Cu,4.45
MITF850,105,247.5,Fe,0.7
MITF850,105,247.5,Mg,0.5
MITF850,105,247.5,Mn,0.8
MITF850,105,247.5,Other,0.15
MITF850,105,247.5,Si,0.85
MITF850,105,247.5,Ti,0.15
MITF850,105,247.5,Zn,0.25
MITF850,105,247.5,Zr,0.2
MITF480,28,90,Al,99.5
MITF480,28,90,Cu,0.125
MITF480,28,90,Fe,1
MITF480,28,90,Mn,0.05
MITF480,28,90,Other,0.15
