internal_id,avg_hardness,avg_yield,Al,As,B,Bi,C,Ca,Ce,Co,Cr,Cu,Fe,Mg,Mn,Mo,N,Nb,Ni,Other,P,Pb,S,Se,Si,Sn,Ta,Ti,V,W,Zn,Zr
MINFM3654700,95,168,95.8,0,0,0,0,0,0,0,0.04,0.15,0.7,0.8,0.15,0,0,0,0,0.15,0,0,0,0,0.4,0,0,0.15,0,0,0.25,0
MINFM3654300,30,55,95.8,0,0,0,0,0,0,0,0.04,0.15,0.7,0.8,0.15,0,0,0,0,0.15,0,0,0,0,0.4,0,0,0.15,0,0,0.25,0
MINFM3654600,95,168,95.8,0,0,0,0,0,0,0,0.04,0.15,0.7,0.8,0.15,0,0,0,0,0.15,0,0,0,0,0.4,0,0,0.15,0,0,0.25,0
MINFM3654500,65,127.5,95.8,0,0,0,0,0,0,0,0.04,0.15,0.7,0.8,0.15,0,0,0,0,0.15,0,0,0,0,0.4,0,0,0.15,0,0,0.25,0
MINFM3654400,65,122.5,95.8,0,0,0,0,0,0,0,0.04,0.15,0.7,0.8,0.15,0,0,0,0,0.15,0,0,0,0,0.4,0,0,0.15,0,0,0.25,0
COME029,80,280,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0
COME051,333.5,827,0.5,0,0,0,0,0,0,0,19,0,18,0,0,3,0,5,53,0,0,0,0,0,0,0,0,0.9,0,0,0,0
MITF730,95,250,91.3,0,0,0.2,0,0,0,0,0,5,0.7,0,0,0,0,0,0,0.15,0,0.2,0,0,0.4,0,0,0,0,0,0.3,0
MITF800,45,95,90.4,0,0,0,0,0,0,0,0.1,3.9,0.7,0.2,0.4,0,0,0,0,0.15,0,0,0,0,0.5,0,0,0.15,0,0,0.25,0.2
MITF380,26,80,99.6,0,0,0,0,0,0,0,0,0.05,0.35,0.03,0.03,0,0,0,0,0,0,0,0,0,0.25,0,0,0.03,0.05,0,0.05,0
MITF1070,120,292.5,90.7,0,0,0,0,0,0,0,0.1,3.8,0.5,1.2,0.3,0,0,0,0,0.15,0,0,0,0,0.5,0,0,0.15,0,0,0.25,0.2
MITF2220,28,37.5,97,0,0,0,0,0,0,0,0.1,0.2,0.7,0.5,0.2,0,0,0,0,0.15,0,0,0,0,0.3,0,0,0,0,0,0.25,0
MITF2530,53,152.5,96.3,0,0,0,0,0,0,0,0.1,0.2,0.7,1.1,0.1,0,0,0,0,0.15,0,0,0,0,0.4,0,0,0,0,0,0.25,0
MITF2700,73,220,95.8,0,0,0,0,0,0,0,0.15,0.1,0.4,2.2,0.1,0,0,0,0,0.15,0,0,0,0,0.25,0,0,0,0,0,0.1,0
MITF2700,73,220,95.8,0,0,0,0,0,0,0,0.15,0.1,0.4,2.2,0.1,0,0,0,0,0.15,0,0,0,0,0.25,0,0,0,0,0,0.1,0
MITF2820,65,150,93,0,0,0,0,0,0,0,0.05,0.1,0.4,4.5,0.05,0,0,0,0,0.15,0,0,0,0,0.3,0,0,0,0,0,0.1,0
MITF3190,67,192.5,94.4,0,0,0,0,0,0,0,0.15,0.1,0.4,3.1,0.1,0,0,0,0,0.15,0,0,0,0,0.25,0,0,0.2,0,0,0.2,0
MITF3210,78,235,94.4,0,0,0,0,0,0,0,0.15,0.1,0.4,3.1,0.1,0,0,0,0,0.15,0,0,0,0,0.25,0,0,0.2,0,0,0.2,0
MITF3220,80,255,94.4,0,0,0,0,0,0,0,0.15,0.1,0.4,3.1,0.1,0,0,0,0,0.15,0,0,0,0,0.25,0,0,0.2,0,0,0.2,0
MITF3230,58,95,94.4,0,0,0,0,0,0,0,0.15,0.1,0.4,3.1,0.1,0,0,0,0,0.15,0,0,0,0,0.25,0,0,0.2,0,0,0.2,0
MITF3600,60,125,97.5,0,0,0,0,0,0,0,0.1,0.1,0.35,0.45,0.1,0,0,0,0,0.15,0,0,0,0,0.2,0,0,0.1,0,0,0.1,0
MITF3860,150,437.5,86.9,0,0,0,0,0,0,0,0.18,1.2,0.5,2.1,0.3,0,0,0,0,0.15,0,0,0,0,0.4,0,0,0.2,0,0,5.1,0.25
MITF850,105,247.5,90.4,0,0,0,0,0,0,0,0.1,3.9,0.7,0.2,0.4,0,0,0,0,0.15,0,0,0,0,0.5,0,0,0.15,0,0,0.25,0.2
MITF480,28,90,99,0,0,0,0,0,0,0,0,0.05,1,0,0.05,0,0,0,0,0.15,0,0,0,0,1,0,0,0,0,0,0.1,0
MITF3620,73,192.5,97.5,0,0,0,0,0,0,0,0.1,0.1,0.35,0.45,0.1,0,0,0,0,0.15,0,0,0,0,0.2,0,0,0.1,0,0,0.1,0
MITF3320,73,192.5,94.5,0,0,0,0,0,0,0,0.05,0.1,0.4,2.4,0.5,0,0,0,0,0.15,0,0,0,0,0.25,0,0,0.2,0,0,0.25,0
MITF2180,36,100,97,0,0,0,0,0,0,0,0.1,0.2,0.7,0.5,0.2,0,0,0,0,0.15,0,0,0,0,0.3,0,0,0,0,0,0.25,0
MITF2210,51,185,97,0,0,0,0,0,0,0,0.1,0.2,0.7,0.5,0.2,0,0,0,0,0.15,0,0,0,0,0.3,0,0,0,0,0,0.25,0
MITF2670,60,177.5,95.8,0,0,0,0,0,0,0,0.15,0.1,0.4,2.2,0.1,0,0,0,0,0.15,0,0,0,0,0.25,0,0,0,0,0,0.1,0
MITF3140,63,100,94.4,0,0,0,0,0,0,0,0.15,0.1,0.4,3.1,0.1,0,0,0,0,0.15,0,0,0,0,0.25,0,0,0.2,0,0,0.2,0
MITF1480,47,157.5,96.8,0,0,0,0,0,0,0,0,0.05,0.7,0,1,0,0,0,0,0.15,0,0,0,0,0.6,0,0,0,0,0,0.1,0
MITF1550,28,37.5,96.8,0,0,0,0,0,0,0,0,0.05,0.7,0,1,0,0,0,0,0.15,0,0,0,0,0.6,0,0,0,0,0,0.1,0
MITF510,44,145,99,0,0,0,0,0,0,0,0,0.05,1,0,0.05,0,0,0,0,0.15,0,0,0,0,1,0,0,0,0,0,0.1,0
MITF1000,47,75,90.7,0,0,0,0,0,0,0,0.1,3.8,0.5,1.2,0.3,0,0,0,0,0.15,0,0,0,0,0.5,0,0,0.15,0,0,0.25,0.2
MITF2520,46,127.5,96.3,0,0,0,0,0,0,0,0.1,0.2,0.7,1.1,0.1,0,0,0,0,0.15,0,0,0,0,0.4,0,0,0,0,0,0.25,0
MITF2540,58,165,96.3,0,0,0,0,0,0,0,0.1,0.2,0.7,1.1,0.1,0,0,0,0,0.15,0,0,0,0,0.4,0,0,0,0,0,0.25,0
MITF2550,63,182.5,96.3,0,0,0,0,0,0,0,0.1,0.2,0.7,1.1,0.1,0,0,0,0,0.15,0,0,0,0,0.4,0,0,0,0,0,0.25,0
MITF2720,47,77.5,95.8,0,0,0,0,0,0,0,0.15,0.1,0.4,2.2,0.1,0,0,0,0,0.15,0,0,0,0,0.25,0,0,0,0,0,0.1,0
MITF2800,100,345,93,0,0,0,0,0,0,0,0.05,0.1,0.4,4.5,0.05,0,0,0,0,0.15,0,0,0,0,0.3,0,0,0,0,0,0.1,0
MITF1490,55,175,96.8,0,0,0,0,0,0,0,0,0.05,0.7,0,1,0,0,0,0,0.15,0,0,0,0,0.6,0,0,0,0,0,0.1,0
MITF1690,77,232.5,95.6,0,0,0,0,0,0,0,0,0.25,0.7,0.8,1,0,0,0,0,0.15,0,0,0,0,0.3,0,0,0,0,0,0.25,0
MITF3560,25,50,97.5,0,0,0,0,0,0,0,0.1,0.1,0.35,0.45,0.1,0,0,0,0,0.15,0,0,0,0,0.2,0,0,0.1,0,0,0.1,0
MITF3570,42,72.5,97.5,0,0,0,0,0,0,0,0.1,0.1,0.35,0.45,0.1,0,0,0,0,0.15,0,0,0,0,0.2,0,0,0.1,0,0,0.1,0
MITF400,35,105,99.6,0,0,0,0,0,0,0,0,0.05,0.35,0.03,0.03,0,0,0,0,0,0,0,0,0,0.25,0,0,0.03,0.05,0,0.05,0
MITF390,30,90,99.6,0,0,0,0,0,0,0,0,0.05,0.35,0.03,0.03,0,0,0,0,0,0,0,0,0,0.25,0,0,0.03,0.05,0,0.05,0
MITF790,100,295,91.3,0,0,0.2,0,0,0,0,0,5,0.7,0,0,0,0,0,0,0.15,0,0.2,0,0,0.4,0,0,0,0,0,0.3,0
MITF900,135,382.5,90.4,0,0,0,0,0,0,0,0.1,3.9,0.7,0.2,0.4,0,0,0,0,0.15,0,0,0,0,0.5,0,0,0.15,0,0,0.25,0.2
MITF3840,150,442.5,86.9,0,0,0,0,0,0,0,0.18,1.2,0.5,2.1,0.3,0,0,0,0,0.15,0,0,0,0,0.4,0,0,0.2,0,0,5.1,0.25
MITF1660,52,157.5,95.6,0,0,0,0,0,0,0,0,0.25,0.7,0.8,1,0,0,0,0,0.15,0,0,0,0,0.3,0,0,0,0,0,0.25,0
MITF1680,70,210,95.6,0,0,0,0,0,0,0,0,0.25,0.7,0.8,1,0,0,0,0,0.15,0,0,0,0,0.3,0,0,0,0,0,0.25,0
MITF1700,45,65,95.6,0,0,0,0,0,0,0,0,0.25,0.7,0.8,1,0,0,0,0,0.15,0,0,0,0,0.3,0,0,0,0,0,0.25,0
MITF2190,41,122.5,97,0,0,0,0,0,0,0,0.1,0.2,0.7,0.5,0.2,0,0,0,0,0.15,0,0,0,0,0.3,0,0,0,0,0,0.25,0
MITF2760,105,405,93,0,0,0,0,0,0,0,0.05,0.1,0.4,4.5,0.05,0,0,0,0,0.15,0,0,0,0,0.3,0,0,0,0,0,0.1,0
MITF3680,95,255,97.5,0,0,0,0,0,0,0,0.1,0.1,0.35,0.45,0.1,0,0,0,0,0.15,0,0,0,0,0.2,0,0,0.1,0,0,0.1,0
MITF3240,70,155,94.5,0,0,0,0,0,0,0,0.05,0.1,0.4,2.4,0.5,0,0,0,0,0.15,0,0,0,0,0.25,0,0,0.2,0,0,0.25,0
MITF3250,62,105,94.5,0,0,0,0,0,0,0,0.05,0.1,0.4,2.4,0.5,0,0,0,0,0.15,0,0,0,0,0.25,0,0,0.2,0,0,0.25,0
MITF3360,62,100,94.5,0,0,0,0,0,0,0,0.05,0.1,0.4,2.4,0.5,0,0,0,0,0.15,0,0,0,0,0.25,0,0,0.2,0,0,0.25,0
MITF370,23,52.5,99.6,0,0,0,0,0,0,0,0,0.05,0.35,0.03,0.03,0,0,0,0,0,0,0,0,0,0.25,0,0,0.03,0.05,0,0.05,0
MITF1010,120,317.5,90.7,0,0,0,0,0,0,0,0.1,3.8,0.5,1.2,0.3,0,0,0,0,0.15,0,0,0,0,0.5,0,0,0.15,0,0,0.25,0.2
MITF2200,46,145,97,0,0,0,0,0,0,0,0.1,0.2,0.7,0.5,0.2,0,0,0,0,0.15,0,0,0,0,0.3,0,0,0,0,0,0.25,0
MITF2560,36,47.5,96.3,0,0,0,0,0,0,0,0.1,0.2,0.7,1.1,0.1,0,0,0,0,0.15,0,0,0,0,0.4,0,0,0,0,0,0.25,0
