internal_id,hardness_min,hardness_max,hardness_units,hardness_temperature,yield_min,yield_max,yield_units,yield_temperature,composition.elements,composition.min,composition.max
COME043,190,200,[-],20,570,750,MPa,20,Cu,NA,NA
COME043,190,200,[-],20,570,750,MPa,20,Ni,2.6,4.5
COME043,190,200,[-],20,570,750,MPa,20,Si,0.8,1.3
COME064,280,280,[-],20,550,550,MPa,20,C,0,0.03
COME064,280,280,[-],20,550,550,MPa,20,Cr,24,26
COME064,280,280,[-],20,550,550,MPa,20,Cu,0.5,1
COME064,280,280,[-],20,550,550,MPa,20,Fe,NA,NA
COME064,280,280,[-],20,550,550,MPa,20,Mn,0,1
COME064,280,280,[-],20,550,550,MPa,20,Mo,3,4
COME064,280,280,[-],20,550,550,MPa,20,Ni,6,8
COME064,280,280,[-],20,550,550,MPa,20,N,0.2,0.3
COME064,280,280,[-],20,550,550,MPa,20,P,0,0.03
COME064,280,280,[-],20,550,550,MPa,20,Si,0,1
COME064,280,280,[-],20,550,550,MPa,20,S,0,0.01
COME064,280,280,[-],20,550,550,MPa,20,W,0.5,1
COME040,229,240,[-],20,555,630,MPa,20,Al,3,3
COME040,229,240,[-],20,555,630,MPa,20,Cu,NA,NA
COME040,229,240,[-],20,555,630,MPa,20,Fe,1.5,1.5
COME040,229,240,[-],20,555,630,MPa,20,Mn,0.3,0.3
COME040,229,240,[-],20,555,630,MPa,20,Ni,14.5,14.5
COME063,280,280,[-],20,550,550,MPa,20,C,0,0.04
COME063,280,280,[-],20,550,550,MPa,20,Cr,24,27
COME063,280,280,[-],20,550,550,MPa,20,Cu,1.5,2.5
COME063,280,280,[-],20,550,550,MPa,20,Fe,NA,NA
COME063,280,280,[-],20,550,550,MPa,20,Mn,0,1.5
COME063,280,280,[-],20,550,550,MPa,20,Mo,2.9,3.9
COME063,280,280,[-],20,550,550,MPa,20,Ni,4.5,6.5
COME063,280,280,[-],20,550,550,MPa,20,N,0.1,0.25
COME063,280,280,[-],20,550,550,MPa,20,P,0,0.04
COME063,280,280,[-],20,550,550,MPa,20,Si,0,1
COME063,280,280,[-],20,550,550,MPa,20,S,0,0.03
