,internal_id,avg_hardness,avg_yield,Al,B,C,Cr,Cu,Fe,Mn,Mo,N,Nb,Ni,S,Si,Ti,V,youngs_modulus,lattice_constant,melting_point,specific_heat,atomic_mass,CTE,electrical_resistivity,atomic_radius,density_of_solid,poissons_ratio,max_min_radius
5,COME029,80.0,280.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,205.28,3.208,1765.3600000000001,0.443,57.326167999999996,1.2632e-05,8.543999999999999e-08,1.374,8411.68,0.3004,0.04999999999999982
6,COME051,333.5,827.0,0.5,0.0,0.0,19.0,0.0,18.0,0.0,3.0,0.0,5.0,53.0,0.0,0.0,0.9,0.0,213.50399999999996,3.2357,1890.7345,0.43738699999999997,59.12809069299999,1.0858900000000002e-05,9.327499999999999e-08,1.36835,8286.123,0.29033,0.19999999999999996
70,MINFM7375,114.0,415.0,0.0,0.0,0.0,17.0,0.0,67.0499,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,204.90528899999998,2.6955321299999997,1712.4421919999997,0.415431057,50.978825654999994,9.8168882e-06,9.439989999999999e-08,1.2846985999999998,7205.9491259999995,0.25494470999999996,0.04999999999999982
72,MINFM7378,114.0,415.0,0.0,0.0,0.0,17.0,0.0,67.5899,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,206.044689,2.71103013,1722.2053919999998,0.417823257,51.280388654999996,9.8806082e-06,9.49399e-08,1.2922585999999998,7248.468725999999,0.25651071,0.04999999999999982
73,MINFM50412,85.0,275.0,0.0,0.0,0.0,22.0,0.0,57.8449,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,207.432739,2.71614863,1721.5557919999999,0.416772907,50.785834405,9.5116982e-06,9.44249e-08,1.2798285999999999,7194.467426,0.25115021,0.04999999999999982
77,MINFM7562,254.0,310.0,0.0,0.0,0.2,0.0,0.0,98.1749,0.7,0.2,0.0,0.0,0.0,0.0,0.15,0.0,0.0,209.26353899999998,2.90143463,1801.5656919999997,0.441232307,55.46836887,1.17642382e-05,1.6283649e-06,1.3901986,7811.170625999999,0.28532721,0.75
80,MINFM7928,107.5,415.0,0.0,0.0,0.6,16.0,0.0,78.4299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.127089,2.73315813,1781.732592,0.42979045699999996,52.190617855,1.0081328200000001e-05,1.5874990000000002e-07,1.3262185999999998,7331.5723259999995,0.26104671,0.7
82,MINFM8063,299.0,827.5,0.0,0.0,0.18,0.0,0.0,95.0699,0.5,0.2,0.0,0.0,3.25,0.0,0.15,0.0,0.0,208.815989,2.90822713,1797.7242919999999,0.44077845700000007,55.52963889,1.1788528200000002e-05,1.6227199000000001e-06,1.3876635999999998,7840.799525999999,0.28639771,0.75
83,MINFM7808,110.0,380.0,0.0,0.0,0.0,12.0,0.0,82.8399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,208.27218899999997,2.72310513,1753.3453919999997,0.425540757,52.501474155,1.0363108200000001e-05,9.80799e-08,1.3277586,7379.613726,0.26543571,0.0
84,MINFM50423,110.0,380.0,0.0,0.0,0.0,12.0,0.0,83.3299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209.306089,2.73716813,1762.2045919999996,0.42771145699999996,52.775114654999996,1.04209282e-05,9.85699e-08,1.3346185999999998,7418.196325999999,0.26685671,0.0
85,MINFM8453,176.0,346.5,0.0,0.0,0.19,0.35,0.0,96.7999,0.6,0.15,0.0,0.0,0.35,0.0,0.15,0.0,0.0,207.67628899999997,2.87355013,1786.8576919999996,0.437725957,54.983804254999995,1.16412282e-05,1.6252189e-06,1.3783785999999998,7746.234425999999,0.28300470999999994,0.75
87,MINFM8657,176.0,346.5,0.0,0.0,0.2,0.4,0.0,96.6749,0.75,0.3,0.0,0.0,0.4,0.0,0.15,0.0,0.0,208.44253899999998,2.89157963,1793.5181919999998,0.43880080699999996,55.1968608925,1.16760882e-05,1.6284359e-06,1.3823485999999996,7771.267625999999,0.28336721,0.75
88,MINFM8039,336.0,367.5,0.0,0.0,0.15,0.3,0.0,96.2399,0.6,0.3,0.0,0.0,0.85,0.0,0.15,0.0,0.0,207.848689,2.87693513,1787.104892,0.43730825700000003,55.077646925,1.1644058200000003e-05,1.6210379e-06,1.3784836,7757.623226000001,0.28329071,0.75
89,MINFM8046,321.0,475.5,0.0,0.0,0.13,0.0,0.0,95.1599,0.4,0.2,0.0,0.0,3.25,0.0,0.15,0.0,0.0,208.80788899999996,2.9001351300000002,1795.9244919999999,0.440344657,55.51895599499999,1.1773898200000002e-05,1.6163699000000002e-06,1.3871735999999997,7839.282625999999,0.28665871,0.75
