,internal_id,avg_yield,Al,B,Bi,C,Ca,Ce,Co,Cr,Cu,Fe,Mg,Mn,Mo,N,Nb,Ni,P,Pb,S,Se,Si,Ti,V,W,Zn,Zr,youngs_modulus,lattice_constant,melting_point,specific_heat,atomic_mass,CTE,electrical_resistivity,atomic_radius,density_of_solid,poissons_ratio
0,MINFM3654700,168.0,95.8,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.15,0.7,0.8,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.15,0.0,0.0,0.25,0.0,70.1326,3.9783669999999995,930.850725,0.8795556999999999,26.979858486299996,2.243606e-05,4.0299046e-06,1.2338599999999997,2716.9935,0.34134899999999996
1,MINFM3654300,55.0,95.8,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.15,0.7,0.8,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.15,0.0,0.0,0.25,0.0,70.1326,3.9783669999999995,930.850725,0.8795556999999999,26.979858486299996,2.243606e-05,4.0299046e-06,1.2338599999999997,2716.9935,0.34134899999999996
2,MINFM3654600,168.0,95.8,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.15,0.7,0.8,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.15,0.0,0.0,0.25,0.0,70.1326,3.9783669999999995,930.850725,0.8795556999999999,26.979858486299996,2.243606e-05,4.0299046e-06,1.2338599999999997,2716.9935,0.34134899999999996
3,MINFM3654500,127.5,95.8,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.15,0.7,0.8,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.15,0.0,0.0,0.25,0.0,70.1326,3.9783669999999995,930.850725,0.8795556999999999,26.979858486299996,2.243606e-05,4.0299046e-06,1.2338599999999997,2716.9935,0.34134899999999996
4,MINFM3654400,122.5,95.8,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.15,0.7,0.8,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.15,0.0,0.0,0.25,0.0,70.1326,3.9783669999999995,930.850725,0.8795556999999999,26.979858486299996,2.243606e-05,4.0299046e-06,1.2338599999999997,2716.9935,0.34134899999999996
5,COME029,280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,205.28,3.208,1765.36,0.443,57.326167999999996,1.2632e-05,8.543999999999999e-08,1.374,8411.68,0.3004
6,COME051,827.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,18.0,0.0,0.0,3.0,0.0,5.0,53.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,213.50400000000002,3.2357,1890.7345,0.437387,59.128090693,1.0858900000000002e-05,9.327500000000002e-08,1.36835,8286.123,0.29033
7,MITF730,250.0,91.3,0.0,0.2,0.0,0.0,0.0,0.0,0.0,5.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.4,0.0,0.0,0.0,0.3,0.0,72.495,3.9473399999999996,943.87199,0.848593,29.343289541799997,2.2183499999999995e-05,4.029411e-06,1.2337999999999998,3039.198,0.34086999999999995
8,MITF800,95.0,90.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,3.9,0.7,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.15,0.0,0.0,0.25,0.2,71.803,3.9116250000000004,936.785725,0.8419935000000001,28.139076674399995,2.18294e-05,5.0333698000000005e-06,1.2165250000000003,2933.5765,0.334265
9,MITF380,80.0,99.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.35,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.03,0.05,0.0,0.05,0.0,70.86670000000001,4.066579999999999,943.7177649999999,0.9009445,27.2673649591,2.30945e-05,2.5279458e-06,1.255965,2737.7834999999995,0.3502779999999999
