,internal_id,avg_hardness,avg_yield,Al,B,C,Cr,Cu,Fe,Mn,Mo,N,Nb,Ni,S,Si,Ti,V,lattice_constant,atomic_mass,atomic_radius,max_min_radius
70,MINFM7375,114.0,415.0,0.0,0.0,0.0,17.0,0.0,67.0499,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.6955321299999997,50.978825654999994,1.2846985999999998,0.04999999999999982
72,MINFM7378,114.0,415.0,0.0,0.0,0.0,17.0,0.0,67.5899,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,2.71103013,51.280388654999996,1.2922585999999998,0.04999999999999982
73,MINFM50412,85.0,275.0,0.0,0.0,0.0,22.0,0.0,57.8449,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,2.71614863,50.785834405,1.2798285999999999,0.04999999999999982
77,MINFM7562,254.0,310.0,0.0,0.0,0.2,0.0,0.0,98.1749,0.7,0.2,0.0,0.0,0.0,0.0,0.15,0.0,0.0,2.90143463,55.46836887,1.3901986,0.75
80,MINFM7928,107.5,415.0,0.0,0.0,0.6,16.0,0.0,78.4299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.73315813,52.190617855,1.3262185999999998,0.7
82,MINFM8063,299.0,827.5,0.0,0.0,0.18,0.0,0.0,95.0699,0.5,0.2,0.0,0.0,3.25,0.0,0.15,0.0,0.0,2.90822713,55.52963889,1.3876635999999998,0.75
83,MINFM7808,110.0,380.0,0.0,0.0,0.0,12.0,0.0,82.8399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.72310513,52.501474155,1.3277586,0.0
84,MINFM50423,110.0,380.0,0.0,0.0,0.0,12.0,0.0,83.3299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.73716813,52.775114654999996,1.3346185999999998,0.0
85,MINFM8453,176.0,346.5,0.0,0.0,0.19,0.35,0.0,96.7999,0.6,0.15,0.0,0.0,0.35,0.0,0.15,0.0,0.0,2.87355013,54.983804254999995,1.3783785999999998,0.75
87,MINFM8657,176.0,346.5,0.0,0.0,0.2,0.4,0.0,96.6749,0.75,0.3,0.0,0.0,0.4,0.0,0.15,0.0,0.0,2.89157963,55.1968608925,1.3823485999999996,0.75
88,MINFM8039,336.0,367.5,0.0,0.0,0.15,0.3,0.0,96.2399,0.6,0.3,0.0,0.0,0.85,0.0,0.15,0.0,0.0,2.87693513,55.077646925,1.3784836,0.75
89,MINFM8046,321.0,475.5,0.0,0.0,0.13,0.0,0.0,95.1599,0.4,0.2,0.0,0.0,3.25,0.0,0.15,0.0,0.0,2.9001351300000002,55.51895599499999,1.3871735999999997,0.75
92,MINFM50523,46.0,380.0,0.0,0.0,0.0,17.0,0.0,61.1799,11.5,0.0,0.2,0.0,2.5,0.0,0.0,0.0,0.0,3.3638911300000003,50.81847573,1.2905685999999998,0.7499999999999999
95,MINFM6784,52.5,200.0,0.0,0.0,0.15,0.0,0.0,99.1349,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.87719663,55.544715090000004,1.3931386,0.7
96,MINFM6852,58.0,220.0,0.0,0.0,0.22,0.0,0.0,99.0549,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.87739963,55.50844658,1.3925086,0.7
100,MINFM6901,74.5,285.0,0.0,0.0,0.35,0.0,0.0,98.6149,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89608263,55.44315662500001,1.3914586,0.7
103,MINFM6903,78.0,300.0,0.0,0.0,0.37,0.0,0.0,98.4949,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.90224263,55.43348281,1.3913185999999997,0.7
110,MINFM7096,50.5,195.0,0.0,0.0,0.08,0.0,0.0,98.8999,0.5,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,2.89410913,55.54059994,1.3929585999999998,0.7
112,MINFM7045,93.5,490.0,0.0,0.0,0.6,0.0,0.0,98.3349,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89697163,55.31681737500001,1.3892885999999998,0.7
115,MINFM7050,96.0,505.0,0.0,0.0,0.7,0.0,0.0,98.3349,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.89165163,55.273890030000004,1.3885885999999998,0.7
122,MINFM8513,138.5,931.0,0.0,0.0,0.37,0.35,0.0,96.5099,0.7,0.15,0.0,0.0,0.35,0.0,0.15,0.0,0.0,2.88054313,54.898411059999994,1.3769785999999997,0.75
123,MINFM8691,194.0,498.5,0.0,0.0,0.15,0.3,0.0,97.1749,0.75,0.08,0.0,0.0,0.3,0.0,0.15,0.0,0.0,2.8908146299999995,55.148323042499996,1.3830585999999998,0.75
